'ping','stopandwait','gobackn'
30, 65040.000000,18210.000000
31, 67208.000000,18817.000000
32, 69376.000000,19424.000000
33, 71544.000000,20031.000000
34, 73712.000000,20638.000000
35, 75880.000000,21245.000000
36, 78048.000000,21852.000000
37, 80216.000000,22459.000000
38, 82384.000000,23066.000000
39, 84552.000000,23673.000000
40, 86720.000000,24280.000000
41, 88888.000000,24887.000000
42, 91056.000000,25494.000000
43, 93224.000000,26101.000000
44, 95392.000000,26708.000000
45, 97560.000000,27315.000000
46, 99728.000000,27922.000000
47, 101896.000000,28529.000000
48, 104064.000000,29136.000000
49, 106232.000000,29743.000000
50, 108400.000000,30350.000000
51, 110568.000000,30957.000000
52, 112736.000000,31564.000000
53, 114904.000000,32171.000000
54, 117072.000000,32778.000000
55, 119240.000000,33385.000000
56, 121408.000000,33992.000000
57, 123576.000000,34599.000000
58, 125744.000000,35206.000000
59, 127912.000000,35813.000000
60, 130080.000000,36420.000000
61, 132248.000000,37027.000000
62, 134416.000000,37634.000000
63, 136584.000000,38241.000000
64, 138752.000000,38848.000000
65, 140920.000000,39455.000000
66, 143088.000000,40062.000000
67, 145256.000000,40669.000000
68, 147424.000000,41276.000000
69, 149592.000000,41883.000000
70, 151760.000000,42490.000000
71, 153928.000000,43097.000000
72, 156096.000000,43704.000000
73, 158264.000000,44311.000000
74, 160432.000000,44918.000000
75, 162600.000000,45525.000000
76, 164768.000000,46132.000000
77, 166936.000000,46739.000000
78, 169104.000000,47346.000000
79, 171272.000000,47953.000000
80, 173440.000000,48560.000000
81, 175608.000000,49167.000000
82, 177776.000000,49774.000000
83, 179944.000000,50381.000000
84, 182112.000000,50988.000000
85, 184280.000000,51595.000000
86, 186448.000000,52202.000000
87, 188616.000000,52809.000000
88, 190784.000000,53416.000000
89, 192952.000000,54023.000000
90, 195120.000000,54630.000000
91, 197288.000000,55237.000000
92, 199456.000000,55844.000000
93, 201624.000000,56451.000000
94, 203792.000000,57058.000000
95, 205960.000000,57665.000000
96, 208128.000000,58272.000000
97, 210296.000000,58879.000000
98, 212464.000000,59486.000000
99, 214632.000000,60093.000000
100, 216800.000000,60700.000000
101, 218968.000000,61307.000000
102, 221136.000000,61914.000000
103, 223304.000000,62521.000000
104, 225472.000000,63128.000000
105, 227640.000000,63735.000000
106, 229808.000000,64342.000000
107, 231976.000000,64949.000000
108, 234144.000000,65556.000000
109, 236312.000000,66163.000000
110, 238480.000000,66770.000000
111, 240648.000000,67377.000000
112, 242816.000000,67984.000000
113, 244984.000000,68591.000000
114, 247152.000000,69198.000000
115, 249320.000000,69805.000000
116, 251488.000000,70412.000000
117, 253656.000000,71019.000000
118, 255824.000000,71626.000000
119, 257992.000000,72233.000000
120, 260160.000000,72840.000000
121, 262328.000000,73447.000000
122, 264496.000000,74054.000000
123, 266664.000000,74661.000000
124, 268832.000000,75268.000000
125, 271000.000000,75875.000000
126, 273168.000000,76482.000000
127, 275336.000000,77089.000000
128, 277504.000000,77696.000000
129, 279672.000000,78303.000000
130, 281840.000000,78910.000000
131, 284008.000000,79517.000000
132, 286176.000000,80124.000000
133, 288344.000000,80731.000000
134, 290512.000000,81338.000000
135, 292680.000000,81945.000000
136, 294848.000000,82552.000000
137, 297016.000000,83159.000000
138, 299184.000000,83766.000000
139, 301352.000000,84373.000000
140, 303520.000000,84980.000000
141, 305688.000000,85587.000000
142, 307856.000000,86194.000000
143, 310024.000000,86801.000000
144, 312192.000000,87408.000000
145, 314360.000000,88015.000000
146, 316528.000000,88622.000000
147, 318696.000000,89229.000000
148, 320864.000000,89836.000000
149, 323032.000000,90443.000000
150, 325200.000000,91050.000000
151, 327368.000000,91657.000000
152, 329536.000000,92264.000000
153, 331704.000000,92871.000000
154, 333872.000000,93478.000000
155, 336040.000000,94085.000000
156, 338208.000000,94692.000000
157, 340376.000000,95299.000000
158, 342544.000000,95906.000000
159, 344712.000000,96513.000000
160, 346880.000000,97120.000000
161, 353556.000000,99538.250000
162, 355752.000000,100156.500000
163, 357948.000000,100774.750000
164, 360144.000000,101393.000000
165, 362340.000000,102011.250000
166, 364536.000000,102629.500000
167, 366732.000000,103247.750000
168, 368928.000000,103866.000000
169, 371124.000000,104484.250000
170, 373320.000000,105102.500000
171, 375516.000000,105720.750000
172, 377712.000000,106339.000000
173, 379908.000000,106957.250000
174, 382104.000000,107575.500000
175, 384300.000000,108193.750000
176, 386496.000000,108812.000000
177, 388692.000000,109430.250000
178, 390888.000000,110048.500000
179, 393084.000000,110666.750000
180, 395280.000000,111285.000000
181, 397476.000000,111903.250000
182, 399672.000000,112521.500000
183, 401868.000000,113139.750000
184, 404064.000000,113758.000000
185, 406260.000000,114376.250000
186, 408456.000000,114994.500000
187, 410652.000000,115612.750000
188, 412848.000000,116231.000000
189, 415044.000000,116849.250000
190, 417240.000000,117467.500000
191, 419436.000000,118085.750000
192, 421632.000000,118704.000000
193, 423828.000000,119322.250000
194, 426024.000000,119940.500000
195, 428220.000000,120558.750000
196, 430416.000000,121177.000000
197, 432612.000000,121795.250000
198, 434808.000000,122413.500000
199, 437004.000000,123031.750000
200, 439200.000000,123650.000000
