'prawdopodobienstwo','stopandwait','gobackn'
100, 60000.000000,15000.000000
99, 60960.000000,15660.000000
98, 62040.000000,16485.000000
97, 62520.000000,16980.000000
96, 64200.000000,18217.500000
95, 65880.000000,19042.500000
94, 67560.000000,20115.000000
93, 69480.000000,21022.500000
92, 71760.000000,22335.000000
91, 73680.000000,23580.000000
90, 75240.000000,24315.000000
89, 76320.000000,25312.500000
88, 78120.000000,26715.000000
87, 80400.000000,28035.000000
86, 81360.000000,28695.000000
85, 83040.000000,29595.000000
84, 84120.000000,30585.000000
83, 86760.000000,32820.000000
82, 88200.000000,34875.000000
81, 89520.000000,35535.000000
80, 90960.000000,36945.000000
79, 92160.000000,38340.000000
78, 94080.000000,39660.000000
77, 95640.000000,41557.500000
76, 97800.000000,41722.500000
75, 99000.000000,43125.000000
74, 100920.000000,43867.500000
73, 104280.000000,45765.000000
72, 106680.000000,47827.500000
71, 109560.000000,50715.000000
70, 111840.000000,51210.000000
69, 113280.000000,52365.000000
68, 116880.000000,53767.500000
67, 120600.000000,54427.500000
66, 123120.000000,57315.000000
65, 127200.000000,60705.000000
64, 129720.000000,62842.500000
63, 132120.000000,65482.500000
62, 135240.000000,69772.500000
61, 138720.000000,71752.500000
60, 142560.000000,75300.000000
59, 144840.000000,76290.000000
58, 149160.000000,78930.000000
57, 152640.000000,79425.000000
56, 154680.000000,81322.500000
55, 157920.000000,81990.000000
54, 162120.000000,84952.500000
53, 166080.000000,89077.500000
52, 168480.000000,92625.000000
51, 172440.000000,94110.000000
50, 177240.000000,96915.000000
49, 180480.000000,98647.500000
48, 186240.000000,101130.000000
47, 192360.000000,109620.000000
46, 195840.000000,113580.000000
45, 202920.000000,117705.000000
44, 209400.000000,123067.500000
43, 216120.000000,127192.500000
42, 223440.000000,132637.500000
41, 228480.000000,140062.500000
40, 235440.000000,141960.000000
39, 242760.000000,147735.000000
38, 251400.000000,157635.000000
37, 258120.000000,162090.000000
36, 269640.000000,168112.500000
35, 274440.000000,177352.500000
34, 286920.000000,183127.500000
33, 295800.000000,188242.500000
32, 306720.000000,191707.500000
31, 318720.000000,198472.500000
30, 335160.000000,204907.500000
29, 353040.000000,210930.000000
28, 368640.000000,223800.000000
27, 388680.000000,242692.500000
26, 406920.000000,254655.000000
25, 430200.000000,270247.500000
24, 462360.000000,279652.500000
23, 482040.000000,301432.500000
22, 508920.000000,325605.000000
21, 539280.000000,351840.000000
20, 564600.000000,381952.500000
19, 593400.000000,397215.000000
18, 634680.000000,426667.500000
17, 663120.000000,454387.500000
16, 705240.000000,476250.000000
15, 741480.000000,495142.500000
14, 805320.000000,532102.500000
13, 873360.000000,573187.500000
12, 931200.000000,635392.500000
11, 1029480.000000,689925.000000
10, 1149240.000000,751470.000000
