'wielkosc ramki','stopandwait','gobackn'
1, 65880.000000,inf
2, 65880.000000,67200.000000
3, 65880.000000,34725.000000
4, 65880.000000,23870.000000
5, 65880.000000,18547.500000
6, 65880.000000,15348.000000
7, 65880.000000,13450.000000
8, 65880.000000,11991.428571
9, 65880.000000,10848.750000
10, 65880.000000,9676.666667
11, 65880.000000,9105.000000
12, 65880.000000,8383.636364
13, 65880.000000,7900.000000
14, 65880.000000,7493.076923
15, 65880.000000,7073.571429
16, 65880.000000,7034.000000
17, 65880.000000,6832.500000
18, 65880.000000,6531.176471
19, 65880.000000,6388.333333
20, 65880.000000,6071.052632
21, 65880.000000,5902.500000
22, 65880.000000,5685.714286
23, 65880.000000,5610.000000
24, 65880.000000,5291.739130
25, 65880.000000,5367.500000
26, 65880.000000,5324.400000
27, 65880.000000,5162.307692
28, 65880.000000,5197.777778
29, 65880.000000,5049.642857
30, 65880.000000,4844.482759
